Year,Region,Country,Both,Male,Female
2022,Eastern Mediterranean,Afghanistan,19.2,14.5,23.7
2022,Europe,Albania,23.4,21.4,25.2
2022,Africa,Algeria,23.8,15.5,32.3
2022,Western Pacific,American Samoa,75.2,69.4,80.4
2022,Europe,Andorra,18.1,20.5,15.5
2022,Africa,Angola,11.5,6.3,16.3
2022,Americas,Antigua and Barbuda,33.3,23.8,41.7
2022,Americas,Argentina,35.4,34.4,36.3
2022,Europe,Armenia,24.5,19,36.4
2022,Western Pacific,Australia,30.2,31.2,36.5
2022,Europe,Austria,15.4,18.5,36.6
2022,Europe,Azerbaijan,26.5,19.5,36.7
2022,Americas,Bahamas,47.3,38.7,36.8
2022,Eastern Mediterranean,Bahrain,36.1,32.1,36.9
2022,South-East Asia,Bangladesh,5.3,2.9,36.1
2022,Americas,Barbados,38,27.1,36.11
2022,Europe,Belarus,21.4,19.3,36.12
2022,Europe,Belgium,20,19.2,36.13
2022,Americas,Belize,42.3,32.7,36.14
2022,Africa,Benin,11.2,7.1,36.15
2022,Americas,Bermuda,33,23.8,36.16
2022,South-East Asia,Bhutan,12.2,9.3,36.17
2022,Americas,Bolivia,28.7,22.7,36.18
2022,Europe,Bosnia and Herz.,21.2,21.5,36.19
2022,Africa,Botswana,18.3,8.4,36.2
2022,Americas,Brazil,28.1,24.3,36.21
2022,Western Pacific,Brunei,31.7,30,36.22
2022,Europe,Bulgaria,20.6,23.1,36.23
2022,Africa,Burkina Faso,6.7,4,36.24
2022,Africa,Burundi,5,6.1,36.25
2022,Africa,Côte d'Ivoire,11.6,7.7,36.26
2022,Africa,Cape Verde,15.8,8.4,36.27
2022,Western Pacific,Cambodia,4.4,3,36.28
2022,Africa,Cameroon,14.9,9.3,36.29
2022,Americas,Canada,26.2,27.6,36.3
2022,Africa,Central African Rep.,9.3,6.1,36.31
2022,Africa,Chad,6.7,7.4,36.32
2022,Americas,Chile,38.9,33.4,36.33
2022,Western Pacific,China,8.3,8.8,36.34
2022,Americas,Colombia,23.6,17.9,36.35
2022,Africa,Comoros,16.3,8,36.36
2022,Africa,Congo,8.5,4.2,36.37
2022,Western Pacific,Cook Islands,68.9,65.3,36.38
2022,Americas,Costa Rica,31.4,24.8,36.39
2022,Europe,Croatia,30.6,33.6,36.4
2022,Americas,Cuba,21.8,18.5,36.41
2022,Europe,Cyprus,22.9,25.5,36.42
2022,Europe,Czechia,26,29.5,36.43
2022,South-East Asia,North Korea,10.8,8.5,36.44
2022,South-East Asia,Dem. Rep. Congo,6.6,4.2,36.45
2022,Europe,Denmark,13.3,15.3,36.46
2022,Eastern Mediterranean,Djibouti,11.3,6.1,36.47
2022,Americas,Dominica,31.3,17.9,36.48
2022,Americas,Dominican Rep.,29.3,23.2,36.49
2022,Americas,Ecuador,27.4,22.3,36.5
