Country,Prevalence of obesity
Afghanistan,19.2
Albania,23.4
Algeria,23.8
American Samoa,75.2
Andorra,18.1
Angola,11.5
Antigua and Barbuda,33.3
Argentina,35.4
Armenia,24.5
Australia,30.2
Austria,15.4
Azerbaijan,26.5
Bahamas,47.3
Bahrain,36.1
Bangladesh,5.3
Barbados,38
Belarus,21.4
Belgium,20
Belize,42.3
Benin,11.2
Bermuda,33
Bhutan,12.2
Bolivia (Plurinational State of),28.7
Bosnia and Herzegovina,21.2
Botswana,18.3
Brazil,28.1
Brunei Darussalam,31.7
Bulgaria,20.6
Burkina Faso,6.7
Burundi,5
Cote d'Ivoire,11.6
Cabo Verde,15.8
Cambodia,4.4
Cameroon,14.9
Canada,26.2
Central African Republic,9.3
Chad,6.7
Chile,38.9
China,8.3
Colombia,23.6
Comoros,16.3
Congo,8.5
Cook Islands,68.9
Costa Rica,31.4
Croatia,30.6
Cuba,21.8
Cyprus,22.9
Czechia,26
Democratic People's Republic of Korea,10.8
Democratic Republic of the Congo,6.6
Denmark,13.3
Djibouti,11.3
Dominica,31.3
Dominican Republic,29.3
Ecuador,27.4
Egypt,44.3
El Salvador,30.9
Equatorial Guinea,17.7
Eritrea,4.8
Estonia,22.2
Eswatini,30.1
Ethiopia,2.8
Fiji,33.8
Finland,21.5
France,9.7
French Polynesia,48.1
Gabon,21
Gambia,14.9
Georgia,34.7
Germany,20.4
Ghana,12.9
Greece,28
Greenland,27
Grenada,30.3
Guatemala,26.8
Guinea,9.5
Guinea-Bissau,11.5
Guyana,28.5
Haiti,10.7
Honduras,29.5
Hungary,31.7
Iceland,21.2
India,7.3
Indonesia,11.2
Iran (Islamic Republic of),24.3
Iraq,40.5
Ireland,28.3
Israel,22.5
Italy,17.3
Jamaica,33.8
Japan,5.5
Jordan,38.5
Kazakhstan,18.4
Kenya,12.4
Kiribati,46.3
Kuwait,41.4
Kyrgyzstan,26.6
Lao People's Democratic Republic,8
Latvia,24.3
Lebanon,29.8
Lesotho,21
Liberia,17
Libya,36.7
Lithuania,25.4
Luxembourg,18.4
Madagascar,4.3
Malawi,7.7
Malaysia,22.1
Maldives,17.3
Mali,11.4
Malta,32.3
Marshall Islands,45.9
Mauritania,22.7
Mauritius,19.2
Mexico,36
Micronesia (Federated States of),47.1
Mongolia,24.1
Montenegro,18
Morocco,21.8
Mozambique,10.3
Myanmar,7.4
Namibia,17
Nauru,69.9
Nepal,7
Netherlands (Kingdom of the),14.5
New Zealand,33.6
Nicaragua,33.6
Niger,6
Nigeria,12.4
Niue,66.6
North Macedonia,27.5
Norway,19.1
"occupied Palestinian territory, including east Jerusalem",37.6
Oman,31.1
Pakistan,23
Palau,41.1
Panama,36.1
Papua New Guinea,20.5
Paraguay,33
Peru,27.3
Philippines,8.7
Poland,27.5
Portugal,21.8
Puerto Rico,41.1
Qatar,43.1
Republic of Korea,7.3
Republic of Moldova,23
Romania,34
Russian Federation,24.2
Rwanda,4.9
Saint Kitts and Nevis,45.6
Saint Lucia,33.5
Saint Vincent and the Grenadines,33.2
Samoa,62.4
Sao Tome and Principe,16.5
Saudi Arabia,40.6
Senegal,10.2
Serbia,22.5
Seychelles,29.4
Sierra Leone,7.1
Singapore,13.9
Slovakia,26.8
Slovenia,19.4
Solomon Islands,22.6
Somalia,14.6
South Africa,30.8
South Sudan,8.6
Spain,15.7
Sri Lanka,10.6
Sudan,17
Suriname,29
Sweden,15.3
Switzerland,12.1
Syrian Arab Republic,33.9
Türkiye,33.3
Tajikistan,23.8
Thailand,15.4
Timor-Leste,2.4
Togo,11.6
Tokelau,69.8
Tonga,71.7
Trinidad and Tobago,28.1
Tunisia,26.8
Turkmenistan,21.4
Tuvalu,64.2
Uganda,7.9
Ukraine,23.6
United Arab Emirates,32.1
United Kingdom of Great Britain and Northern Ireland,26.8
United Republic of Tanzania,12.6
United States of America,42
Uruguay,33.3
Uzbekistan,30
Vanuatu,21.3
Venezuela (Bolivarian Republic of),22.7
Viet Nam,2
Yemen,13.7
Zambia,11.1
Zimbabwe,14.2
